name,source,complexid,saftype,pri_add,modified,faci_dom,facility_t,b7_sc,placeid,bin,sos,segmentid,borough,created,latitude,longitude,nad83_x,nad83_y,borough_name,facility_t_name,is_test
WHITESTONE,DoITT,0,N,0.0,2011-05-04,8,6,29799001,16883,0,1,136150,2,2009-05-14,40.80526812065427,-73.83185289433808,314.1879276144438,70.9277514864958,Bronx,Transportation Facility,True
BOATHOUSE,DCP,0,N,0.0,,8,6,43629501,19950,0,2,82955,4,2008-03-15,40.73877326020482,-73.83827188217491,313.6599163628828,63.542568366620486,Queens,Transportation Facility,True
EASTCHESTER,DCP,0,N,0.0,2011-12-06,8,6,21382009,19953,0,2,146575,2,2008-03-15,40.88771112667516,-73.8238485910341,314.8449327556749,80.08436930700942,Bronx,Transportation Facility,False
GOETHALS,DCP,0,N,0.0,2020-03-16,8,6,59703501,19954,0,1,321726,5,2008-03-15,40.635261070285125,-74.196729991945,283.3565854512906,52.05387304256019,Staten Island,Transportation Facility,False
MEADOW LAKE,DCP,453,N,0.0,2017-03-13,8,6,40049501,19957,0,2,89788,4,2008-03-15,40.72875116260524,-73.83423857672173,314.002699131162,62.4302712723319,Queens,Transportation Facility,True
QUEENS MIDTOWN EXPRESSWAY,DCP,0,N,0.0,2017-05-09,8,6,45029037,19958,0,1,190793,4,2008-03-15,40.739503204279586,-73.94196679736764,304.9011711741688,63.61264060818029,Queens,Transportation Facility,True
JOEL A MIELE SR PEDESTRIAN,DCP,0,N,0.0,2018-04-26,8,6,45871339,19959,0,2,54336,4,2008-03-15,40.653403895132875,-73.83171708287027,314.23178545693634,54.06356091379719,Queens,Transportation Facility,False
SHEEPSHEAD FOOT,DCP,0,N,0.0,,8,6,37637001,19960,0,2,26181,3,2008-03-15,40.5823491743181,-73.94938260751648,304.28487826288415,46.160739322840236,Brooklyn,Transportation Facility,False
UNIONPORT,DCP,0,N,0.0,,8,6,21592009,19962,0,2,178192,2,2008-03-15,40.828326161202114,-73.8424698066297,313.28745077480045,73.48666804841092,Bronx,Transportation Facility,False
VERRAZZANO,DCP,0,N,0.0,2017-02-13,8,6,39728001,19963,0,1,306821,3,2008-03-15,40.60727790367868,-74.04271671853805,296.3841577157061,48.928628034267255,Brooklyn,Transportation Facility,False
FLUSHING,DCP,0,N,0.0,2018-04-09,8,6,45779013,19965,0,1,155996,4,2008-03-15,40.76263658211579,-73.83664365296013,313.79250435863946,66.1928042818148,Queens,Transportation Facility,True
HALL OF SCIENCE,DCP,0,N,0.0,,8,6,44836501,19966,0,2,192606,4,2008-03-15,40.74723039614,-73.8487752379357,312.77111959132384,64.48013313661826,Queens,Transportation Facility,True
CENTRAL PARK BOW BRIDGE,OTHER,444,N,0.0,2018-02-27,8,6,10072619,1002127,0,2,37193,1,2010-08-31,40.77577539823907,-73.97178440451849,302.3813264400569,67.63937614304365,Manhattan,Transportation Facility,False
METRO NORTH,OTHER,0,N,0.0,2022-10-19,8,6,10047101,1005744,0,1,195090,1,2011-06-26,40.811099151336094,-73.93351126691554,305.60933358187793,71.56379543343098,Manhattan,Transportation Facility,False
METRO NORTH BRIDGE,OTHER,0,N,0.0,2019-12-13,8,6,20098601,1005745,0,1,173371,2,2011-06-26,40.81157541199497,-73.93235386516905,305.7069477321235,71.61675869193667,Bronx,Transportation Facility,False
SQUIBB PARK,OTHER,0,N,0.0,2021-02-17,8,6,30018801,1006605,0,2,191520,3,2011-07-15,40.70065412699407,-73.99583017856268,300.35180020827346,59.29691310370227,Brooklyn,Transportation Facility,False
LITTLE NECK,OTHER,0,N,0.0,,8,6,45779016,1006885,0,1,101312,4,2011-07-25,40.763413461294284,-73.7517783876887,320.9579054217299,66.29590935253766,Queens,Transportation Facility,False
HAMILTON,OTHER,0,N,0.0,2018-04-26,8,6,34683002,1006905,0,2,303069,3,2011-07-26,40.671882770338186,-73.99837997114086,300.1363651976387,56.101918476011,Brooklyn,Transportation Facility,False
HUTCHINSON RIVER,OTHER,0,N,0.0,,8,6,24172017,1006906,0,2,154922,2,2011-07-26,40.86889047667423,-73.8210624416585,315.0840106200949,77.99480175595552,Bronx,Transportation Facility,False
PURPLE HEART MEMORIAL,OTHER,0,N,0.0,2011-11-28,8,6,54475011,1006907,0,2,155310,5,2011-07-26,40.56654428728394,-74.16972788014064,285.62609991050147,44.41835365745247,Staten Island,Transportation Facility,False
UNION ST,OTHER,0,N,0.0,,8,6,38653002,1006908,0,1,22652,3,2011-07-26,40.67949051475893,-73.98834653891076,300.9845879075556,56.94680271074313,Brooklyn,Transportation Facility,False
WESTCHESTER,OTHER,0,N,0.0,,8,6,27695003,1006909,0,1,9014580,2,2011-07-26,40.82828030362543,-73.88382360441862,309.7991650912117,73.47612580851272,Bronx,Transportation Facility,False
STILLWELL,OTHER,0,N,0.0,,8,6,38183003,1006911,0,2,19260,3,2011-07-26,40.58259582657383,-73.98259922945458,301.4726096943316,46.18703728888925,Brooklyn,Transportation Facility,True
HOOK CREEK,OTHER,0,N,0.0,2014-10-21,8,6,46081007,1006913,0,2,283113,4,2011-07-26,40.63525309279285,-73.73999760644608,321.9948516945047,52.066941583986825,Queens,Transportation Facility,True
3 AVENUE,OTHER,0,N,0.0,2022-06-08,8,6,30528009,1006914,0,2,341180,3,2011-07-26,40.67417974464572,-73.98876832456823,300.9490052620147,56.357050950660515,Brooklyn,Transportation Facility,True
MILL BASIN,OTHER,0,N,0.0,2019-03-11,8,6,37703012,1006924,0,1,317611,3,2011-07-26,40.60424992915373,-73.89874855730358,308.5689639230103,48.59645323210327,Brooklyn,Transportation Facility,True
GEORGE WASHINGTON,OTHER,0,N,0.0,2019-12-20,8,6,19781001,1006925,0,1,9014077,1,2011-07-26,40.85127859384622,-73.95054168791759,304.1698839275506,76.02476530503388,Manhattan,Transportation Facility,False
ROOSEVELT,OTHER,0,N,0.0,2018-10-11,8,6,46109002,1006928,0,2,177615,4,2011-07-26,40.757005990760895,-73.8386900423433,313.6208675848347,65.56721577077833,Queens,Transportation Facility,False
METROPOLITAN AVENUE,OTHER,0,N,0.0,2016-12-27,8,6,36053004,1006964,0,2,304455,3,2011-07-28,40.714284752256795,-73.93118460874322,305.81408974700565,60.812839761932445,Brooklyn,Transportation Facility,False
WARDS ISLAND ANCHORAGE,OTHER,445,N,0.0,2017-11-08,8,6,19772006,1007394,0,1,248656,1,2011-08-16,40.783046726371474,-73.92950035145736,305.950259031027,68.44886047456076,Manhattan,Transportation Facility,False
WARDS ISLAND TOWER PEDESTAL,OTHER,445,N,0.0,2019-12-11,8,6,19772007,1007399,0,1,248291,1,2011-08-16,40.78120729499119,-73.92811720244192,306.0671781046292,68.24468844120322,Manhattan,Transportation Facility,False
RFK BR QUEENS PED AND BIKE PATH,OTHER,445,N,0.0,2013-12-04,8,6,19772012,1007444,0,2,245630,1,2011-08-17,40.7878460897682,-73.92842435832476,306.0406480039165,68.98189865633292,Manhattan,Transportation Facility,False
RFK BRIDGE BRONX PED AND BIKE PATH,OTHER,447,N,0.0,2019-12-11,8,6,19772011,1007447,0,2,155063,1,2011-08-17,40.79795621756978,-73.91953924628643,306.7895539512887,70.10527029289611,Manhattan,Transportation Facility,False
RFK BR BRONX PED AND BIKE PATH,OTHER,0,N,0.0,2019-12-13,8,6,29832005,1007450,0,2,111655,2,2011-08-17,40.80158348385791,-73.9167663137718,307.02318169273866,70.50829410778218,Bronx,Transportation Facility,False
RFK BR QUEENS PED AND BIKE PATH,OTHER,0,N,0.0,2019-12-17,8,6,49730007,1007453,0,2,68739,4,2011-08-17,40.77241338296383,-73.91960618450389,306.7865082210151,67.2687590932317,Queens,Transportation Facility,False
BOTANICAL GRDN,OTHER,0,N,0.0,2011-09-20,8,6,43654301,1008485,0,2,179228,4,2011-09-20,40.74929524364994,-73.83274261709064,314.1247196420516,64.71189226660292,Queens,Transportation Facility,False
HELL GATE BRIDGE,OTHER,0,N,0.0,2019-12-11,8,6,10003601,1009964,0,2,306127,1,2012-01-12,40.78264797336841,-73.92216558652913,306.5694250319661,68.40510357474037,Manhattan,Transportation Facility,False
HELL GATE,OTHER,0,N,0.0,2022-03-16,8,6,40026501,1009985,0,2,251893,4,2012-01-12,40.781724378443286,-73.9209540591343,306.6717830785445,68.3026309119059,Queens,Transportation Facility,False
