name,latitude,longitude,state_id,state_name,county_fips,population,density,timezone,entity_type,entity_subtype,page_views,is_test
Allendale County,32.9881,-81.3582,SC,South Carolina,45005.0,8304.0,,America/New_York,county,,,False
Atkinson County,31.2971,-82.88,GA,Georgia,13003.0,8269.0,,America/New_York,county,,,False
Baraga County,46.6626,-88.3652,MI,Michigan,26013.0,8249.0,,America/Detroit,county,,,True
Franklin City,36.6831,-76.9386,VA,Virginia,51620.0,8249.0,,America/New_York,county,,,False
Oscoda County,44.6818,-84.1298,MI,Michigan,26135.0,8206.0,,America/Detroit,county,,,True
Twiggs County,32.6672,-83.4271,GA,Georgia,13289.0,8034.0,,America/New_York,county,,,False
Traill County,47.4542,-97.1616,ND,North Dakota,38097.0,8008.0,,America/Chicago,county,,,False
Schoolcraft County,46.1966,-86.1996,MI,Michigan,26153.0,8004.0,,America/Detroit,county,,,False
San Augustine County,31.3942,-94.1682,TX,Texas,48405.0,7964.0,,America/Chicago,county,,,False
Lemhi County,44.9433,-113.9333,ID,Idaho,16059.0,7948.0,,America/Boise,county,,,False
Doddridge County,39.2692,-80.707,WV,West Virginia,54017.0,7929.0,,America/New_York,county,,,False
Richardson County,40.125,-95.7175,NE,Nebraska,31147.0,7893.0,,America/Chicago,county,,,False
Searcy County,35.9109,-92.6995,AR,Arkansas,5129.0,7872.0,,America/Chicago,county,,,True
Power County,42.6936,-112.8407,ID,Idaho,16077.0,7854.0,,America/Boise,county,,,False
Coleman County,31.7732,-99.4536,TX,Texas,48083.0,7848.0,,America/Chicago,county,,,True
Ballard County,37.0585,-88.9995,KY,Kentucky,21007.0,7814.0,,America/Chicago,county,,,True
Red River Parish,32.0931,-93.3398,LA,Louisiana,22081.0,7787.0,,America/Chicago,county,,,False
Washakie County,43.905,-107.6828,WY,Wyoming,56043.0,7768.0,,America/Denver,county,,,False
Major County,36.3116,-98.5359,OK,Oklahoma,40093.0,7753.0,,America/Chicago,county,,,False
Yoakum County,33.173,-102.8278,TX,Texas,48501.0,7707.0,,America/Chicago,county,,,False
Merrick County,41.169,-98.038,NE,Nebraska,31121.0,7687.0,,America/Chicago,county,,,False
McCulloch County,31.1989,-99.3476,TX,Texas,48307.0,7676.0,,America/Chicago,county,,,False
Winkler County,31.8501,-103.0483,TX,Texas,48495.0,7629.0,,America/Chicago,county,,,False
Pleasants County,39.371,-81.1606,WV,West Virginia,54073.0,7623.0,,America/New_York,county,,,False
Conejos County,37.2007,-106.1916,CO,Colorado,8021.0,7579.0,,America/Denver,county,,,False
Boise County,43.9891,-115.7303,ID,Idaho,16015.0,7549.0,,America/Boise,county,,,True
Doniphan County,39.7881,-95.1468,KS,Kansas,20043.0,7549.0,,America/Chicago,county,,,False
East Carroll Parish,32.7325,-91.235,LA,Louisiana,22035.0,7502.0,,America/Chicago,county,,,False
Kingman County,37.5589,-98.1363,KS,Kansas,20095.0,7495.0,,America/Chicago,county,,,True
Harney County,43.0641,-118.968,OR,Oregon,41025.0,7454.0,,America/Los_Angeles,county,,,False
Castro County,34.5299,-102.2617,TX,Texas,48069.0,7450.0,,America/Chicago,county,,,False
Chariton County,39.5151,-92.9626,MO,Missouri,29041.0,7432.0,,America/Chicago,county,,,False
Elliott County,38.1179,-83.0976,KY,Kentucky,21063.0,7414.0,,America/New_York,county,,,True
Rappahannock County,38.6848,-78.1592,VA,Virginia,51157.0,7400.0,,America/New_York,county,,,False
Wallowa County,45.5799,-117.181,OR,Oregon,41063.0,7330.0,,America/Los_Angeles,county,,,True
Pepin County,44.5829,-92.0015,WI,Wisconsin,55091.0,7328.0,,America/Chicago,county,,,False
Lexington City,37.7825,-79.4441,VA,Virginia,51678.0,7287.0,,America/New_York,county,,,False
Grand Isle County,44.7981,-73.2948,VT,Vermont,50013.0,7249.0,,America/New_York,county,,,False
Ferry County,48.4703,-118.5166,WA,Washington,53019.0,7198.0,,America/Los_Angeles,county,,,False
Shannon County,37.1574,-91.4005,MO,Missouri,29203.0,7185.0,,America/Chicago,county,,,False
Dallam County,36.2779,-102.6022,TX,Texas,48111.0,7135.0,,America/Chicago,county,,,False
Goliad County,28.6571,-97.4264,TX,Texas,48175.0,7085.0,,America/Chicago,county,,,False
Kit Carson County,39.3055,-102.603,CO,Colorado,8063.0,7071.0,,America/Denver,county,,,False
Tillman County,34.3728,-98.9242,OK,Oklahoma,40141.0,7070.0,,America/Chicago,county,,,True
Swisher County,34.5304,-101.735,TX,Texas,48437.0,7055.0,,America/Chicago,county,,,False
Bon Homme County,42.9885,-97.8846,SD,South Dakota,46009.0,7020.0,,America/Chicago,county,,,False
Caribou County,42.7705,-111.5623,ID,Idaho,16029.0,7003.0,,America/Boise,county,,,False
Fall River County,43.2394,-103.5275,SD,South Dakota,46047.0,6979.0,,America/Denver,county,,,True
Ida County,42.3869,-95.5135,IA,Iowa,19093.0,6979.0,,America/Chicago,county,,,False
Bailey County,34.0686,-102.8299,TX,Texas,48017.0,6968.0,,America/Chicago,county,,,False
La Salle County,28.3452,-99.0995,TX,Texas,48283.0,6956.0,,America/Chicago,county,,,False
Pembina County,48.7675,-97.5518,ND,North Dakota,38067.0,6912.0,,America/Chicago,county,,,False
Weston County,43.8404,-104.5677,WY,Wyoming,56045.0,6891.0,,America/Denver,county,,,False
Wabaunsee County,38.9533,-96.205,KS,Kansas,20197.0,6881.0,,America/Chicago,county,,,True
Refugio County,28.3253,-97.1656,TX,Texas,48391.0,6822.0,,America/Chicago,county,,,True
Tucker County,39.1136,-79.565,WV,West Virginia,54093.0,6822.0,,America/New_York,county,,,False
Charles City County,37.3567,-77.0622,VA,Virginia,51036.0,6817.0,,America/New_York,county,,,False
Huerfano County,37.6847,-104.9606,CO,Colorado,8055.0,6787.0,,America/Denver,county,,,True
Childress County,34.5291,-100.2076,TX,Texas,48075.0,6784.0,,America/Chicago,county,,,False
Lac qui Parle County,44.9955,-96.1735,MN,Minnesota,27073.0,6753.0,,America/Chicago,county,,,False
Clinch County,30.915,-82.7063,GA,Georgia,13065.0,6737.0,,America/New_York,county,,,False
Burt County,41.8515,-96.3286,NE,Nebraska,31021.0,6705.0,,America/Chicago,county,,,False
King and Queen County,37.7186,-76.8953,VA,Virginia,51097.0,6690.0,,America/New_York,county,,,False
Galax City,36.666,-80.9176,VA,Virginia,51640.0,6681.0,,America/New_York,county,,,False
Pershing County,40.4404,-118.4044,NV,Nevada,32027.0,6668.0,,America/Los_Angeles,county,,,True
Wolfe County,37.7393,-83.4932,KY,Kentucky,21237.0,6666.0,,America/New_York,county,,,False
Buena Vista City,37.7319,-79.3569,VA,Virginia,51530.0,6649.0,,America/New_York,county,,,True
Broadwater County,46.3324,-111.4955,MT,Montana,30007.0,6641.0,,America/Denver,county,,,False
Kearney County,40.5067,-98.948,NE,Nebraska,31099.0,6639.0,,America/Chicago,county,,,False
Norman County,47.3265,-96.4553,MN,Minnesota,27107.0,6500.0,,America/Chicago,county,,,False
Wilkin County,46.357,-96.4683,MN,Minnesota,27167.0,6495.0,,America/Chicago,county,,,False
Rio Blanco County,39.9798,-108.2171,CO,Colorado,8103.0,6495.0,,America/Denver,county,,,True
Bottineau County,48.7922,-100.8333,ND,North Dakota,38009.0,6442.0,,America/Chicago,county,,,False
Treutlen County,32.4039,-82.5673,GA,Georgia,13283.0,6410.0,,America/New_York,county,,,False
Spink County,44.938,-98.3462,SD,South Dakota,46115.0,6408.0,,America/Chicago,county,,,True
Ellsworth County,38.6966,-98.2048,KS,Kansas,20053.0,6403.0,,America/Chicago,county,,,False
Saguache County,38.0805,-106.2815,CO,Colorado,8109.0,6369.0,,America/Denver,county,,,False
Moody County,44.022,-96.6709,SD,South Dakota,46101.0,6335.0,,America/Chicago,county,,,False
Woodruff County,35.1863,-91.2431,AR,Arkansas,5147.0,6333.0,,America/Chicago,county,,,False
Presidio County,29.9998,-104.2405,TX,Texas,48377.0,6328.0,,America/Chicago,county,,,False
Bear Lake County,42.2848,-111.3297,ID,Idaho,16007.0,6327.0,,America/Boise,county,,,False
Quitman County,34.2514,-90.2891,MS,Mississippi,28119.0,6327.0,,America/Chicago,county,,,False
Antelope County,42.1769,-98.0667,NE,Nebraska,31003.0,6310.0,,America/Chicago,county,,,False
Bland County,37.134,-81.1302,VA,Virginia,51021.0,6278.0,,America/New_York,county,,,False
Edwards County,38.4165,-88.0533,IL,Illinois,17047.0,6233.0,,America/Chicago,county,,,False
Gentry County,40.2121,-94.4099,MO,Missouri,29075.0,6231.0,,America/Chicago,county,,,False
Menifee County,37.9414,-83.5989,KY,Kentucky,21165.0,6149.0,,America/New_York,county,,,False
Reynolds County,37.3623,-90.9691,MO,Missouri,29179.0,6138.0,,America/Chicago,county,,,False
Hamlin County,44.6738,-97.1883,SD,South Dakota,46057.0,6127.0,,America/Chicago,county,,,True
Benson County,48.0694,-99.366,ND,North Dakota,38005.0,6090.0,,America/Chicago,county,,,False
Crowley County,38.3266,-103.7845,CO,Colorado,8025.0,6018.0,,America/Denver,county,,,False
Pondera County,48.2277,-112.2263,MT,Montana,30073.0,5974.0,,America/Denver,county,,,False
Chouteau County,47.8806,-110.4353,MT,Montana,30015.0,5896.0,,America/Denver,county,,,False
Ontonagon County,46.6644,-89.3148,MI,Michigan,26131.0,5891.0,,America/Detroit,county,,,False
Stanton County,41.9169,-97.1939,NE,Nebraska,31167.0,5877.0,,America/Chicago,county,,,False
Bent County,37.9551,-103.0717,CO,Colorado,8011.0,5861.0,,America/Denver,county,,,False
Carson County,35.4035,-101.3542,TX,Texas,48065.0,5856.0,,America/Chicago,county,,,True
Gilpin County,39.8575,-105.5226,CO,Colorado,8047.0,5812.0,,America/Denver,county,,,False
San Saba County,31.1552,-98.8176,TX,Texas,48411.0,5775.0,,America/Chicago,county,,,False
Emporia City,36.6953,-77.5357,VA,Virginia,51595.0,5761.0,,America/New_York,county,,,True
Alfalfa County,36.731,-98.324,OK,Oklahoma,40003.0,5744.0,,America/Chicago,county,,,True
Garza County,33.1799,-101.2985,TX,Texas,48169.0,5734.0,,America/Chicago,county,,,False
Lander County,39.9337,-117.038,NV,Nevada,32015.0,5729.0,,America/Los_Angeles,county,,,False
Covington City,37.7785,-79.9868,VA,Virginia,51580.0,5716.0,,America/New_York,county,,,False
Ransom County,46.4562,-97.6574,ND,North Dakota,38073.0,5679.0,,America/Chicago,county,,,False
McCook County,43.6743,-97.3684,SD,South Dakota,46087.0,5676.0,,America/Chicago,county,,,False
